investigation_type,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,state,year,month,day,human_error,make_model
incident,incident,minor,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,96.0,VMC,cruise,Probable Cause,CA,1985,6,27,False,boeing 737
incident,incident,minor,unknown,boeing,727,no,3.0,turbo jet,commercial flight,0.0,0.0,0.0,90.0,IMC,taxi,Probable Cause,CA,1985,10,24,False,boeing 727
incident,incident,unknown,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,192.0,VMC,climb,Probable Cause,CA,1986,3,31,False,boeing 767
accident,fatal,destroyed,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,82.0,0.0,8.0,0.0,VMC,descent,Probable Cause,CA,1986,8,31,False,boeing DC9
incident,incident,unknown,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,73.0,VMC,approach,Probable Cause,CA,1986,10,29,False,boeing 727
accident,non-fatal,unknown,unknown,boeing,DC10,no,3.0,turbo jet,commercial flight,0.0,1.0,3.0,119.0,VMC,cruise,Probable Cause,CA,1986,11,7,False,boeing DC10
accident,non-fatal,unknown,unknown,boeing,727,no,3.0,turbo jet,commercial flight,0.0,0.0,0.0,92.0,VMC,takeoff,Probable Cause,CA,1987,2,25,False,boeing 727
accident,non-fatal,unknown,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,1.0,11.0,375.0,VMC,cruise,Probable Cause,CA,1987,2,26,False,boeing 747
accident,non-fatal,unknown,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,2.0,9.0,142.0,VMC,taxi,Probable Cause,CA,1987,5,31,False,boeing 727
incident,incident,minor,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,234.0,VMC,approach,Probable Cause,CA,1987,6,6,False,boeing DC10
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,83.0,unknown,taxi,Probable Cause,CA,1987,6,22,False,boeing 747
accident,non-fatal,substantial,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,83.0,unknown,standing,Probable Cause,CA,1987,6,22,False,boeing 737
incident,incident,unknown,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,363.0,VMC,approach,Probable Cause,CA,1987,8,7,False,boeing 747
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,46.0,VMC,descent,Probable Cause,CA,1987,8,11,False,boeing 737
accident,non-fatal,substantial,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,148.0,VMC,landing,Probable Cause,CA,1987,10,4,False,boeing 767
incident,incident,unknown,unknown,boeing,DC-9-,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,79.0,VMC,climb,Probable Cause,CA,1987,10,9,False,boeing DC-9-
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,1.0,142.0,VMC,standing,Probable Cause,CA,1987,11,25,False,boeing 737
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,87.0,VMC,taxi,Probable Cause,CA,1987,12,1,False,boeing 737
incident,incident,unknown,unknown,lockheed,L1011,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,39.0,VMC,cruise,Probable Cause,CA,1988,8,23,False,lockheed L1011
accident,non-fatal,substantial,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,69.0,VMC,standing,Probable Cause,CA,1989,3,17,False,boeing 737
accident,non-fatal,unknown,unknown,boeing,767,no,2.0,turbo jet,commercial flight,0.0,2.0,1.0,219.0,VMC,standing,Probable Cause,CA,1989,4,3,False,boeing 767
incident,incident,unknown,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,3.0,383.0,VMC,cruise,Probable Cause,CA,1989,5,7,False,boeing 747
accident,non-fatal,unknown,unknown,airbus,A300,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,93.0,VMC,descent,Probable Cause,CA,1989,5,10,False,airbus A300
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,148.0,VMC,cruise,Probable Cause,CA,1989,8,10,False,boeing 727
incident,incident,minor,unknown,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,147.0,VMC,descent,Probable Cause,CA,1989,10,9,False,boeing 757
accident,non-fatal,substantial,unknown,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,111.0,VMC,landing,Probable Cause,CA,1989,12,21,False,boeing 757
incident,incident,minor,unknown,lockheed,L1011,no,3.0,turbo fan,commercial flight,0.0,0.0,1.0,192.0,VMC,takeoff,Probable Cause,CA,1990,2,18,False,lockheed L1011
accident,non-fatal,substantial,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,110.0,VMC,takeoff,Probable Cause,CA,1990,3,16,False,boeing 737
accident,non-fatal,substantial,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,6.0,VMC,landing,Probable Cause,CA,1990,4,18,False,boeing DC10
incident,incident,minor,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,106.0,VMC,approach,Probable Cause,CA,1990,8,21,False,boeing 737
incident,incident,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,25.0,320.0,VMC,landing,Probable Cause,CA,1990,8,27,False,boeing 747
accident,fatal,destroyed,unknown,boeing,737,no,2.0,turbo fan,commercial flight,34.0,13.0,17.0,37.0,VMC,landing,Probable Cause,CA,1991,2,1,False,boeing 737
incident,incident,unknown,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,12.0,215.0,IMC,climb,Probable Cause,CA,1991,7,13,False,boeing DC10
incident,incident,unknown,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,298.0,VMC,takeoff,Probable Cause,CA,1991,8,12,False,boeing 747
incident,incident,minor,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,120.0,VMC,takeoff,Probable Cause,CA,1991,8,29,False,boeing 767
incident,incident,unknown,unknown,airbus,A320,no,2.0,turbo fan,commercial flight,0.0,0.0,1.0,80.0,VMC,landing,Probable Cause,CA,1991,9,20,False,airbus A320
incident,incident,minor,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,3.0,81.0,VMC,takeoff,Probable Cause,CA,1992,5,13,False,boeing 767
incident,incident,unknown,unknown,lockheed,L1011,no,3.0,turbo jet,commercial flight,0.0,0.0,0.0,315.0,VMC,taxi,Probable Cause,CA,1992,7,17,False,lockheed L1011
incident,incident,minor,unknown,boeing,MD11,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,149.0,VMC,landing,Probable Cause,CA,1992,8,2,False,boeing MD11
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo jet,commercial flight,0.0,1.0,0.0,113.0,VMC,taxi,Probable Cause,CA,1992,8,6,False,boeing 737
incident,incident,minor,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,235.0,VMC,climb,Probable Cause,CA,1992,9,23,False,boeing DC10
incident,incident,minor,unknown,boeing,MD11,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,277.0,VMC,landing,Probable Cause,CA,1993,4,30,False,boeing MD11
incident,incident,minor,unknown,boeing,757,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,197.0,VMC,climb,Probable Cause,CA,1993,6,8,False,boeing 757
incident,incident,minor,unknown,airbus,A300,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,86.0,VMC,climb,Probable Cause,CA,1993,10,19,False,airbus A300
incident,incident,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,385.0,VMC,climb,Probable Cause,CA,1996,1,5,False,boeing 747
incident,incident,minor,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,132.0,VMC,approach,Probable Cause,CA,1996,4,30,False,boeing 737
incident,incident,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,VMC,climb,Probable Cause,CA,1996,5,19,False,boeing 747
accident,non-fatal,substantial,unknown,boeing,MD11,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,2.0,VMC,landing,Probable Cause,CA,1996,5,25,False,boeing MD11
accident,non-fatal,minor,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,220.0,VMC,taxi,Probable Cause,CA,1996,6,6,False,boeing 767
accident,non-fatal,substantial,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,220.0,VMC,taxi,Probable Cause,CA,1996,6,6,False,boeing 737
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,112.0,VMC,cruise,Probable Cause,CA,1996,11,19,False,boeing 737
accident,non-fatal,unknown,unknown,boeing,MD83,no,2.0,turbo jet,commercial flight,0.0,1.0,1.0,119.0,VMC,descent,Probable Cause,CA,1996,12,22,False,boeing MD83
accident,non-fatal,unknown,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,109.0,VMC,descent,Probable Cause,CA,1997,2,25,False,boeing 767
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,1.0,99.0,VMC,approach,Probable Cause,CA,1997,4,16,False,boeing 737
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,113.0,VMC,approach,Probable Cause,CA,1997,7,14,False,boeing 737
incident,incident,minor,unknown,airbus,A300,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,265.0,VMC,takeoff,Probable Cause,CA,1997,8,24,False,airbus A300
accident,non-fatal,unknown,unknown,boeing,DC10,no,3.0,turbo fan,commercial flight,0.0,4.0,5.0,289.0,VMC,climb,Probable Cause,CA,1998,5,21,False,boeing DC10
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,74.0,VMC,descent,Probable Cause,CA,1998,12,13,False,boeing 737
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,699.0,VMC,standing,Probable Cause,CA,1999,6,6,False,boeing 747
accident,non-fatal,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,699.0,VMC,taxi,Probable Cause,CA,1999,6,6,False,boeing 747
incident,incident,unknown,unknown,boeing,DC-9-,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,141.0,VMC,takeoff,Probable Cause,CA,1999,6,25,False,boeing DC-9-
accident,non-fatal,minor,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,14.0,98.0,VMC,cruise,Probable Cause,CA,1999,9,2,False,boeing 737
accident,non-fatal,substantial,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,86.0,VMC,taxi,Probable Cause,CA,1999,9,12,False,boeing 737
accident,fatal,destroyed,unknown,boeing,MD83,no,2.0,turbo fan,commercial flight,88.0,0.0,0.0,0.0,VMC,cruise,Probable Cause,CA,2000,1,31,False,boeing MD83
accident,non-fatal,unknown,unknown,fokker,F28,no,2.0,turbo jet,commercial flight,0.0,1.0,0.0,23.0,VMC,descent,Probable Cause,CA,2000,2,14,False,fokker F28
accident,fatal,destroyed,airplane,boeing,DC8,no,4.0,turbo fan,commercial flight,3.0,0.0,0.0,106.0,VMC,takeoff,Probable Cause,CA,2000,2,16,False,boeing DC8
accident,non-fatal,destroyed,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,2.0,42.0,98.0,VMC,landing,Probable Cause,CA,2000,3,5,False,boeing 737
incident,incident,minor,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,77.0,VMC,takeoff,Probable Cause,CA,2000,3,13,False,boeing 727
accident,non-fatal,unknown,unknown,airbus,A320,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,141.0,VMC,descent,Probable Cause,CA,2001,6,15,False,airbus A320
accident,non-fatal,unknown,unknown,boeing,757,no,2.0,turbo fan,commercial flight,0.0,1.0,1.0,98.0,VMC,descent,Probable Cause,CA,2001,7,11,False,boeing 757
accident,non-fatal,unknown,unknown,airbus,A320,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,139.0,VMC,cruise,Probable Cause,CA,2001,8,20,False,airbus A320
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,87.0,VMC,takeoff,Probable Cause,CA,2001,10,10,False,boeing 737
incident,incident,unknown,unknown,airbus,A300,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,2.0,VMC,climb,Probable Cause,CA,2003,4,10,False,airbus A300
accident,non-fatal,substantial,unknown,boeing,757,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,103.0,VMC,taxi,Probable Cause,CA,2003,5,20,False,boeing 757
accident,non-fatal,substantial,unknown,boeing,777,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,450.0,VMC,taxi,Probable Cause,CA,2003,10,7,False,boeing 777
accident,non-fatal,substantial,unknown,boeing,777,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,450.0,VMC,taxi,Probable Cause,CA,2003,10,7,False,boeing 777
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,356.0,VMC,takeoff,Probable Cause,CA,2003,11,14,False,boeing 747
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,142.0,VMC,standing,Probable Cause,CA,2004,8,19,False,boeing 737
accident,non-fatal,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,46.0,VMC,approach,Probable Cause,CA,2004,9,13,False,boeing 737
accident,non-fatal,substantial,unknown,boeing,727,no,3.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,VMC,standing,Probable Cause,CA,2005,6,27,False,boeing 727
incident,incident,minor,airplane,airbus,A320,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,146.0,VMC,takeoff,Probable Cause,CA,2005,9,21,False,airbus A320
accident,non-fatal,substantial,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,273.0,VMC,takeoff,Probable Cause,CA,2005,12,19,False,boeing 747
incident,incident,substantial,unknown,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,3.0,unknown,standing,Probable Cause,CA,2006,6,2,False,boeing 767
incident,incident,minor,unknown,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,145.0,VMC,taxi,Probable Cause,CA,2006,8,20,False,boeing DC9
incident,incident,unknown,unknown,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,5.0,VMC,cruise,Probable Cause,CA,2006,10,19,False,boeing 737
accident,non-fatal,substantial,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,208.0,VMC,taxi,Probable Cause,CA,2006,12,26,False,boeing 737
accident,non-fatal,minor,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,208.0,VMC,taxi,Probable Cause,CA,2006,12,26,False,boeing 737
accident,non-fatal,unknown,unknown,boeing,757,no,2.0,turbo jet,commercial flight,0.0,1.0,5.0,106.0,VMC,descent,Probable Cause,CA,2007,4,12,False,boeing 757
accident,non-fatal,unknown,unknown,boeing,757,no,2.0,turbo fan,commercial flight,0.0,1.0,0.0,2.0,VMC,taxi,Probable Cause,CA,2007,4,24,False,boeing 757
incident,incident,minor,unknown,boeing,747,no,4.0,turbo fan,commercial flight,0.0,0.0,0.0,237.0,VMC,takeoff,Probable Cause,CA,2007,6,29,False,boeing 747
accident,non-fatal,unknown,airplane,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,2.0,0.0,112.0,VMC,descent,Probable Cause,CA,2007,12,25,False,boeing DC9
accident,non-fatal,destroyed,airplane,boeing,767,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,2.0,unknown,unknown,"The design of the supplemental oxygen system hoses and the lack of positive separation between electrical wiring and electrically conductive oxygen system components. The lack of positive separation allowed a short circuit to breach a combustible oxygen hose, release oxygen, and initiate a fire in the supernumerary compartment that rapidly spread to other areas. Contributing to this accident was the Federal Aviation Administrations failure to require the installation of nonconductive oxygen hoses after the safety issue concerning conductive hoses was initially identified by Boeing.",CA,2008,6,28,False,boeing 767
accident,non-fatal,unknown,airplane,boeing,777,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,311.0,VMC,unknown,The ground crewman's failure to follow the tow bar disconnect standard operating procedures.,CA,2008,8,16,False,boeing 777
accident,non-fatal,substantial,airplane,boeing,DC9,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,129.0,VMC,unknown,"The first officer's unannounced advancement of the left engine throttle, which led to a sustained application of high thrust that caused the airplane to impact the tug.",CA,2008,12,26,False,boeing DC9
incident,non-fatal,minor,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,142.0,VMC,unknown,The failure of the right main landing gear inboard axle due to fatigue cracking as a result of fretting damage in one of the brake mounting bolt holes.,CA,2009,9,8,False,boeing 737
accident,non-fatal,unknown,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,1.0,1.0,83.0,VMC,unknown,"The pilots abrupt airplane pitch change maneuver. Contributing to the accident was the flight crews failure to maintain the heading specified by the air traffic controller, which would have avoided the near collision course with an unidentified airplane that triggered the traffic alert and collision avoidance system resolution advisory.",CA,2010,2,13,False,boeing 737
incident,non-fatal,unknown,airplane,boeing,777,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,268.0,unknown,unknown,The local controller's issuance of a takeoff clearance to the Boeing 777 without ensuring that approved separation would exist with the Cessna 182. Contributing to the incident were tower procedures that permitted transitioning aircraft to cross the runway 28 departure corridor at low altitude while runways 28L/R were in use.,CA,2010,3,27,False,boeing 777
accident,non-fatal,substantial,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,109.0,VMC,unknown,"The tug operators failure to comply with company procedures when parking an unoccupied baggage tug, and the failure of the tugs seat switch to disengage the electric motor when weight was removed from the drivers seat.",CA,2010,4,10,False,boeing 737
incident,non-fatal,minor,airplane,airbus,A320,no,2.0,turbo fan,commercial flight,0.0,7.0,0.0,84.0,VMC,unknown,"The first officers inadvertent activation of the parking brake in flight, which led to the airplane abruptly stopping and all four of its main landing gear tires deflating, and his use of a nonstandard procedure to cancel the airplane's monitoring alert system.",CA,2010,8,26,False,airbus A320
incident,non-fatal,unknown,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,133.0,VMC,unknown,Failure of the air traffic controller to exercise positive control of the situation by issuing clear and timely control instructions to the helicopter pilot.  Contributing to the incident was delay by the helicopter pilot in responding to instructions issued by the controller.,CA,2010,9,4,False,boeing 737
incident,non-fatal,unknown,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,122.0,unknown,unknown,"The probable cause of the undercowl in-flight engine fire was the insufficient installation torque of the bolts that secure the fuel manifold cover to the fuel manifold.  Engine vibrations and fuel pressure cycles caused the bolts to gradually loosen further until one bolt lost all its tightening torque and fell out. The internal fuel pressure then forced open the fuel manifold cover at the location of the missing bolt, causing a gap between the two mating surfaces which allowed fuel to push past the integral packing, resulting in a fuel leak onto the hot engine cases where it ignited resulting in a fire.",CA,2010,12,25,False,boeing 737
accident,non-fatal,substantial,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,165.0,VMC,unknown,"the early rotation of the airplane to an angle at which the fuselage contacted the runway.  

Contributing to early rotation was the Captains reaction to the erroneous V1 automated callout, likely assuming that the airplane was at or close to the correct Vr at the same time.  

The erroneous automated callout was likely due to a keystroke entry error by the FO when manually entering takeoff data for a newly assigned departure runway.",CA,2011,1,3,False,boeing 737
accident,non-fatal,minor,airplane,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,190.0,VMC,unknown,"The ground crewmembers failure to follow proper procedures for removing a stuck or jammed tow bar, which resulted in a ground crew injury.",CA,2011,5,31,False,boeing 757
accident,non-fatal,substantial,airplane,boeing,757,no,2.0,turbo jet,commercial flight,0.0,0.0,0.0,190.0,VMC,unknown,The ramp personnel's failure to visually verify the position of the jetway before beginning the airplane pushback.,CA,2011,6,12,False,boeing 757
accident,non-fatal,unknown,airplane,boeing,757,no,2.0,turbo jet,commercial flight,0.0,0.0,1.0,151.0,VMC,unknown,"The flight's encounter with known severe turbulence associated with mountain wave activity, which resulted in a flight attendant sustaining a broken ankle.",CA,2011,12,1,False,boeing 757
accident,non-fatal,unknown,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,2.0,1.0,97.0,VMC,unknown,The flight crews flight into known severe turbulence associated with mountain wave activity.,CA,2011,12,2,False,boeing 737
accident,fatal,destroyed,airplane,boeing,777,no,2.0,turbo fan,commercial flight,3.0,137.0,50.0,117.0,VMC,unknown,"The  flight  crew's  mismanagement  of  the  airplane's  descent  during  the  visual approach, the pilot flying's unintended deactivation of automatic airspeed control, the flight crew's inadequate monitoring of airspeed, and the flight crew's delayed execution of a go-around after  they  became  aware  that  the  airplane  was  below  acceptable  glidepath  and  airspeed tolerances.  

Contributing  to  the  accident  were  (1)  the  complexities  of  the  autothrottle  and autopilot flight director systems that were inadequately described in Boeing's documentation and Asiana's pilot training, which increased the likelihood of mode error; (2) the flight crew's nonstandard communication and coordination regarding the use of the autothrottle and autopilot flight director systems; (3) the pilot flying's inadequate training on the planning and executing of visual approaches; (4) the pilot monitoring/instructor pilot's inadequate supervision of the pilot flying; and (5) flight crew fatigue, which likely degraded their performance.",CA,2013,7,6,False,boeing 777
accident,non-fatal,unknown,airplane,boeing,737,no,2.0,turbo fan,commercial flight,0.0,0.0,1.0,186.0,VMC,unknown,the flight attendant's inadvertent trip and fall over a passenger bag that was in the aisle.,CA,2014,3,5,False,boeing 737
incident,non-fatal,minor,airplane,boeing,767,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,208.0,unknown,unknown,"The combination of fuel leaking from the integrated drive generator (IDG) fuel/oil heat exchanger and the coincident arcing of the IDG power feeder cables that ignited the leaking fuel.  Contributing to the ignition of the fuel was the misrouting of the IDG power feeder cables, which resulted in chaffed cables that exposed the electrical wire that contacted a metal bracket, creating an arc.",CA,2014,7,11,False,boeing 767
accident,non-fatal,substantial,airplane,boeing,757,no,2.0,turbo fan,commercial flight,0.0,0.0,0.0,174.0,VMC,unknown,the first officer's failure to maintain the correct airspeed and pitch attitude during landing that resulted in a tailstrike.,CA,2014,7,30,False,boeing 757
